service,test_id,test_name,evaluation_category,difficulty_level,model,http_success,semantic_success,success,error,error_type,response_time_ms,timestamp,expected_behavior,status_code,response_data,is_trap_test,feedback_length_chars,feedback_length_words,tone_positive_count,ai_score,concepts_detected,semantic_quality,reasoning_complexity_score,trap_category,response_length_chars,response_length_words,contains_code_example,helpfulness_indicators,num_hints,avg_hint_length,num_recommendations
hint,hint_syntax_01,Missing Closing Quote,syntax,1,openrouter/polaris-alpha,True,True,True,,,273.551,2025-11-11T22:21:14.861002,Detect missing closing quote and hint at string syntax,200.0,"{'hint': 'Look for syntax errors like missing colons after if/for/def statements', 'hintType': 'syntax', 'relatedConcepts': [], 'example': None, 'difficultyLevel': 2}",False,,,,,,0.67,0.0,,,,,,1.0,70.0,
hint,hint_syntax_02,Missing Parenthesis,syntax,1,openrouter/polaris-alpha,True,True,True,,,8.417,2025-11-11T22:21:19.144397,Hint about checking parentheses without showing exact fix,200.0,"{'hint': 'Look for syntax errors like missing colons after if/for/def statements', 'hintType': 'syntax', 'relatedConcepts': [], 'example': None, 'difficultyLevel': 2}",False,,,,,,0.67,0.0,,,,,,1.0,70.0,
hint,hint_syntax_03,Missing Colon,syntax,2,openrouter/polaris-alpha,True,True,True,,,7.494,2025-11-11T22:21:23.161547,Guide toward checking for colon after control structures,200.0,"{'hint': 'Look for syntax errors like missing colons after if/for/def statements', 'hintType': 'syntax', 'relatedConcepts': [], 'example': None, 'difficultyLevel': 2}",False,,,,,,0.67,0.0,,,,,,1.0,70.0,
hint,hint_logic_01,Wrong Loop Range,logic,3,openrouter/polaris-alpha,True,True,True,,,7.058,2025-11-11T22:21:27.178252,Hint about checking range parameters without revealing answer,200.0,"{'hint': ""💪 Keep trying! You're on the right track!"", 'hintType': 'concept', 'relatedConcepts': [], 'example': None, 'difficultyLevel': 3}",False,,,,,,0.77,0.0,,,,,,1.0,41.0,
hint,hint_logic_02,Incorrect Conditional,logic,3,openrouter/polaris-alpha,True,True,True,,,3.999,2025-11-11T22:21:31.195753,Guide thinking about condition logic without giving solution,200.0,"{'hint': ""You're on the right track!"", 'hintType': 'concept', 'relatedConcepts': [], 'example': None, 'difficultyLevel': 2}",False,,,,,,0.72,0.0,,,,,,1.0,26.0,
hint,hint_logic_03,Off-by-One Error,logic,4,openrouter/polaris-alpha,True,True,True,,,3.899,2025-11-11T22:21:35.203649,Hint about checking boundary conditions,200.0,"{'hint': ""💪 Keep trying! You're on the right track!"", 'hintType': 'concept', 'relatedConcepts': [], 'example': None, 'difficultyLevel': 3}",False,,,,,,0.77,0.0,,,,,,1.0,41.0,
hint,hint_progressive_01_light,Progressive Hint Level 1 - Light,progressive,2,openrouter/polaris-alpha,True,True,True,,,7.637,2025-11-11T22:21:39.209855,Provide gentle nudge without much detail,200.0,"{'hint': ""You're on the right track!"", 'hintType': 'concept', 'relatedConcepts': [], 'example': None, 'difficultyLevel': 1}",False,,,,,,0.72,0.0,,,,,,1.0,26.0,
hint,hint_progressive_02_medium,Progressive Hint Level 2 - Medium,progressive,2,openrouter/polaris-alpha,True,True,True,,,6.867,2025-11-11T22:21:43.233902,Provide more specific guidance about the operation needed,200.0,"{'hint': ""You're on the right track!"", 'hintType': 'concept', 'relatedConcepts': [], 'example': None, 'difficultyLevel': 2}",False,,,,,,0.72,0.0,,,,,,1.0,26.0,
hint,hint_progressive_03_direct,Progressive Hint Level 3 - Direct,progressive,2,openrouter/polaris-alpha,True,True,True,,,3.6470000000000002,2025-11-11T22:21:47.242611,"Provide clear, direct hint about what to change",200.0,"{'hint': ""💪 Keep trying! You're on the right track!"", 'hintType': 'concept', 'relatedConcepts': [], 'example': None, 'difficultyLevel': 3}",False,,,,,,0.77,0.0,,,,,,1.0,41.0,
hint,hint_proactive_01,Division by Zero Warning,proactive,3,openrouter/polaris-alpha,True,True,True,,,6.643,2025-11-11T22:21:51.257847,Warn about potential division by zero before runtime error,200.0,"{'hint': ""You're on the right track!"", 'hintType': 'concept', 'relatedConcepts': [], 'example': None, 'difficultyLevel': 2}",False,,,,,,0.72,0.0,,,,,,1.0,26.0,
